Word,Label
arrhythmia,1
diabetes,1
eczema,1
ulcer,1
emphysema,1
headache,1
avian flu,1
pneumonia,1
migraine,1
eczema,1
food poisoning,1
epilepsy,1
asthma,1
metastasis,1
dementia,1
HIV,1
cold,1
tumor,1
cancer,1
stiffness,1
cramps,1
avian flu,1
dengue,1
parkinson,1
vomiting,1
cholera,1
heart attack,1
allergy,1
pancreatitis,1
pancreatitis,1
ulcer,1
meningitis,1
dengue,1
pancreatitis,1
paralysis,1
pain,1
malaria,1
psoriasis,1
dislocation,1
lymphoma,1
blister,1
jaundice,1
shortness of breath,1
malaria,1
jaundice,1
rash,1
appendicitis,1
parkinson,1
cold,1
arrhythmia,1
migraine,1
swelling,1
chills,1
cramps,1
mumps,1
dermatitis,1
pancreatitis,1
pain,1
heart attack,1
migraine,1
dengue,1
food poisoning,1
melanoma,1
avian flu,1
allergy,1
rabies,1
cirrhosis,1
paralysis,1
meningitis,1
gastroenteritis,1
fever,1
weakness,1
seizure,1
arthritis,1
migraine,1
runny nose,1
mumps,1
dengue,1
rabies,1
whooping cough,1
mumps,1
typhoid,1
seizure,1
infection,1
fatigue,1
malaria,1
chemotherapy,1
fatigue,1
fracture,1
asthma,1
melanoma,1
dengue,1
dermatitis,1
psoriasis,1
sweating,1
hypertension,1
cholera,1
COVID-19,1
pancreatitis,1
stiffness,1
COVID-19,1
arthritis,1
hypertension,1
avian flu,1
dislocation,1
COVID-19,1
measles,1
parkinson,1
itching,1
pneumonia,1
nausea,1
measles,1
dementia,1
dermatitis,1
mumps,1
eczema,1
arthritis,1
cirrhosis,1
tumor,1
arrhythmia,1
psoriasis,1
measles,1
swine flu,1
shortness of breath,1
psoriasis,1
food poisoning,1
parkinson,1
pain,1
itching,1
tuberculosis,1
emphysema,1
lymphoma,1
sweating,1
cramps,1
stiffness,1
cholesterol,1
measles,1
whooping cough,1
migraine,1
AIDS,1
epilepsy,1
cholera,1
bronchitis,1
rabies,1
bronchitis,1
itching,1
chemotherapy,1
tetanus,1
sweating,1
infection,1
HIV,1
flu,1
typhoid,1
inflammation,1
chills,1
chickenpox,1
tetanus,1
arrhythmia,1
measles,1
melanoma,1
stroke,1
sweating,1
hypertension,1
headache,1
fever,1
fracture,1
psoriasis,1
sweating,1
pain,1
epilepsy,1
seizure,1
leukemia,1
ulcer,1
lymphoma,1
hypertension,1
pain,1
alzheimer,1
stroke,1
cholesterol,1
typhoid,1
parkinson,1
shortness of breath,1
chickenpox,1
swine flu,1
stroke,1
meningitis,1
AIDS,1
epilepsy,1
infection,1
fracture,1
hepatitis,1
fracture,1
parkinson,1
stroke,1
meningitis,1
metastasis,1
runny nose,1
measles,1
rash,1
arrhythmia,1
inflammation,1
AIDS,1
vomiting,1
whooping cough,1
rash,1
dizziness,1
dizziness,1
eczema,1
cancer,1
chills,1
dizziness,1
inflammation,1
flu,1
cold,1
cirrhosis,1
tetanus,1
pancreatitis,1
chills,1
dislocation,1
epilepsy,1
melanoma,1
cramps,1
melanoma,1
dermatitis,1
avian flu,1
infection,1
dementia,1
tumor,1
cramps,1
diabetes,1
tumor,1
flu,1
jaundice,1
fracture,1
parkinson,1
cancer,1
leukemia,1
jaundice,1
seizure,1
nausea,1
dermatitis,1
cough,1
lymphoma,1
asthma,1
dislocation,1
alzheimer,1
melanoma,1
weakness,1
cold,1
hepatitis,1
AIDS,1
alzheimer,1
metastasis,1
whooping cough,1
weakness,1
malaria,1
melanoma,1
dementia,1
weakness,1
flu,1
malaria,1
stiffness,1
chills,1
fever,1
pancreatitis,1
rabies,1
paralysis,1
typhoid,1
itching,1
gastroenteritis,1
stroke,1
jaundice,1
whooping cough,1
bronchitis,1
rash,1
typhoid,1
vomiting,1
leukemia,1
weakness,1
weakness,1
appendicitis,1
tumor,1
swine flu,1
inflammation,1
AIDS,1
weakness,1
fatigue,1
cramps,1
stroke,1
chills,1
rabies,1
chickenpox,1
cancer,1
COVID-19,1
acne,1
weakness,1
emphysema,1
dementia,1
alzheimer,1
fever,1
hypertension,1
nausea,1
chemotherapy,1
fatigue,1
measles,1
leukemia,1
COVID-19,1
rash,1
nausea,1
blister,1
tumor,1
swelling,1
nausea,1
pain,1
tumor,1
eczema,1
pain,1
bronchitis,1
cough,1
epilepsy,1
chemotherapy,1
melanoma,1
jaundice,1
hypertension,1
inflammation,1
meningitis,1
cough,1
fever,1
ulcer,1
typhoid,1
headache,1
melanoma,1
hypertension,1
arthritis,1
pancreatitis,1
infection,1
itching,1
seizure,1
dislocation,1
cholera,1
chickenpox,1
cramps,1
sweating,1
tuberculosis,1
cold,1
vomiting,1
jaundice,1
pain,1
infection,1
nausea,1
gastroenteritis,1
measles,1
paralysis,1
dengue,1
headache,1
cough,1
runny nose,1
blister,1
rash,1
diabetes,1
acne,1
tumor,1
stiffness,1
vomiting,1
gastroenteritis,1
diabetes,1
dementia,1
shortness of breath,1
emphysema,1
dislocation,1
itching,1
chickenpox,1
hepatitis,1
rabies,1
inflammation,1
fever,1
food poisoning,1
runny nose,1
swelling,1
cold,1
mumps,1
jaundice,1
lymphoma,1
inflammation,1
pain,1
arthritis,1
chemotherapy,1
eczema,1
ulcer,1
leukemia,1
fracture,1
allergy,1
headache,1
vomiting,1
hepatitis,1
whooping cough,1
emphysema,1
fatigue,1
stroke,1
tuberculosis,1
heart attack,1
hepatitis,1
cancer,1
bronchitis,1
dislocation,1
whooping cough,1
typhoid,1
seizure,1
chemotherapy,1
eczema,1
blister,1
hepatitis,1
pneumonia,1
dermatitis,1
swine flu,1
allergy,1
stiffness,1
AIDS,1
runny nose,1
asthma,1
tetanus,1
sweating,1
psoriasis,1
fatigue,1
hypertension,1
stroke,1
arthritis,1
lymphoma,1
meningitis,1
allergy,1
cholera,1
paralysis,1
migraine,1
rash,1
metastasis,1
dengue,1
food poisoning,1
fatigue,1
cholesterol,1
whooping cough,1
eczema,1
dengue,1
cholesterol,1
weakness,1
parkinson,1
flu,1
swine flu,1
lymphoma,1
dislocation,1
tumor,1
meningitis,1
gastroenteritis,1
typhoid,1
emphysema,1
cirrhosis,1
food poisoning,1
chills,1
fever,1
blister,1
vomiting,1
headache,1
ulcer,1
acne,1
fatigue,1
tuberculosis,1
metastasis,1
jaundice,1
tetanus,1
appendicitis,1
dementia,1
dizziness,1
parkinson,1
allergy,1
tetanus,1
dementia,1
dementia,1
epilepsy,1
chills,1
pneumonia,1
gastroenteritis,1
appendicitis,1
arrhythmia,1
fracture,1
rabies,1
cramps,1
HIV,1
asthma,1
bronchitis,1
chemotherapy,1
weakness,1
rash,1
pancreatitis,1
arthritis,1
hepatitis,1
bronchitis,1
ulcer,1
mumps,1
heart attack,1
dermatitis,1
AIDS,1
tumor,1
nausea,1
cold,1
tuberculosis,1
chills,1
cirrhosis,1
inflammation,1
jaundice,1
dengue,1
stroke,1
metastasis,1
rash,1
arthritis,1
acne,1
eczema,1
alzheimer,1
bronchitis,1
food poisoning,1
cirrhosis,1
malaria,1
dementia,1
cirrhosis,1
appendicitis,1
food poisoning,1
metastasis,1
dizziness,1
cough,1
migraine,1
heart attack,1
fatigue,1
HIV,1
diabetes,1
runny nose,1
appendicitis,1
shortness of breath,1
nausea,1
avian flu,1
stiffness,1
measles,1
inflammation,1
inflammation,1
swine flu,1
pneumonia,1
diabetes,1
hypertension,1
fracture,1
arrhythmia,1
avian flu,1
inflammation,1
paralysis,1
migraine,1
food poisoning,1
avian flu,1
food poisoning,1
allergy,1
chemotherapy,1
headache,1
seizure,1
fever,1
COVID-19,1
headache,1
asthma,1
diabetes,1
psoriasis,1
HIV,1
cholera,1
dementia,1
acne,1
headache,1
seizure,1
itching,1
tuberculosis,1
shortness of breath,1
sweating,1
dizziness,1
cramps,1
lymphoma,1
hepatitis,1
migraine,1
alzheimer,1
cancer,1
pneumonia,1
swelling,1
typhoid,1
cancer,1
migraine,1
COVID-19,1
AIDS,1
cough,1
stiffness,1
tetanus,1
dementia,1
asthma,1
runny nose,1
gastroenteritis,1
psoriasis,1
leukemia,1
chills,1
itching,1
dislocation,1
ulcer,1
meningitis,1
whooping cough,1
rabies,1
fatigue,1
arthritis,1
lymphoma,1
infection,1
infection,1
chemotherapy,1
appendicitis,1
seizure,1
gastroenteritis,1
allergy,1
dengue,1
swine flu,1
runny nose,1
runny nose,1
tumor,1
vomiting,1
fatigue,1
swine flu,1
cirrhosis,1
hypertension,1
cholera,1
bronchitis,1
paralysis,1
dizziness,1
dermatitis,1
alzheimer,1
blister,1
gastroenteritis,1
